Word,Frequency,letter0,letter1,letter2,letter3,letter4
cigar,3993843,c,i,g,a,r
rebut,235254,r,e,b,u,t
sissy,1410911,s,i,s,s,y
humph,60767,h,u,m,p,h
awake,3230337,a,w,a,k,e
blush,1722003,b,l,u,s,h
focal,5844761,f,o,c,a,l
evade,605626,e,v,a,d,e
naval,8091649,n,a,v,a,l
serve,36697856,s,e,r,v,e
heath,6139151,h,e,a,t,h
dwarf,3072068,d,w,a,r,f
model,161205740,m,o,d,e,l
karma,6862407,k,a,r,m,a
stink,872742,s,t,i,n,k
grade,54275130,g,r,a,d,e
quiet,16746894,q,u,i,e,t
bench,8992211,b,e,n,c,h
abate,470646,a,b,a,t,e
feign,116753,f,e,i,g,n
major,122592252,m,a,j,o,r
death,83216831,d,e,a,t,h
fresh,38781893,f,r,e,s,h
crust,2267452,c,r,u,s,t
stool,3031945,s,t,o,o,l
colon,5494297,c,o,l,o,n
abase,29383,a,b,a,s,e
marry,4388137,m,a,r,r,y
react,4126376,r,e,a,c,t
batty,416010,b,a,t,t,y
pride,14428078,p,r,i,d,e
floss,1013783,f,l,o,s,s
helix,2921411,h,e,l,i,x
croak,169181,c,r,o,a,k
staff,151553180,s,t,a,f,f
paper,134939426,p,a,p,e,r
unfed,20266,u,n,f,e,d
whelp,70407,w,h,e,l,p
trawl,553588,t,r,a,w,l
outdo,146433,o,u,t,d,o
adobe,27538755,a,d,o,b,e
crazy,23032837,c,r,a,z,y
sower,137381,s,o,w,e,r
repay,1746487,r,e,p,a,y
digit,6991045,d,i,g,i,t
crate,2336818,c,r,a,t,e
cluck,134048,c,l,u,c,k
spike,4833410,s,p,i,k,e
mimic,1187154,m,i,m,i,c
pound,13620117,p,o,u,n,d
maxim,3820484,m,a,x,i,m
linen,4960413,l,i,n,e,n
unmet,590631,u,n,m,e,t
flesh,6768724,f,l,e,s,h
booby,379438,b,o,o,b,y
forth,20149609,f,o,r,t,h
first,578161543,f,i,r,s,t
stand,46292709,s,t,a,n,d
belly,7346354,b,e,l,l,y
ivory,7146685,i,v,o,r,y
seedy,284954,s,e,e,d,y
print,178250872,p,r,i,n,t
yearn,300957,y,e,a,r,n
drain,6411642,d,r,a,i,n
bribe,646492,b,r,i,b,e
stout,1939514,s,t,o,u,t
panel,53784382,p,a,n,e,l
crass,408565,c,r,a,s,s
flume,173970,f,l,u,m,e
offal,194416,o,f,f,a,l
agree,47500911,a,g,r,e,e
error,89396475,e,r,r,o,r
swirl,1251090,s,w,i,r,l
argue,8353605,a,r,g,u,e
bleed,1989071,b,l,e,e,d
delta,28051872,d,e,l,t,a
flick,2226500,f,l,i,c,k
totem,955271,t,o,t,e,m
front,100886343,f,r,o,n,t
shrub,1458217,s,h,r,u,b
parry,1371591,p,a,r,r,y
biome,174268,b,i,o,m,e
lapel,1119712,l,a,p,e,l
start,161913408,s,t,a,r,t
greet,1784219,g,r,e,e,t
goner,80810,g,o,n,e,r
golem,444797,g,o,l,e,m
lusty,702157,l,u,s,t,y
loopy,263368,l,o,o,p,y
round,61836702,r,o,u,n,d
audit,20786243,a,u,d,i,t
lying,8260845,l,y,i,n,g
gamma,35426622,g,a,m,m,a
labor,37866418,l,a,b,o,r
islet,488105,i,s,l,e,t
civic,10283668,c,i,v,i,c
forge,5226805,f,o,r,g,e
corny,378659,c,o,r,n,y
moult,75151,m,o,u,l,t
basic,84840226,b,a,s,i,c
salad,8923706,s,a,l,a,d
agate,900451,a,g,a,t,e
spicy,3170817,s,p,i,c,y
spray,15148133,s,p,r,a,y
essay,11750312,e,s,s,a,y
fjord,387543,f,j,o,r,d
spend,26713310,s,p,e,n,d
kebab,248067,k,e,b,a,b
guild,7923630,g,u,i,l,d
aback,272920,a,b,a,c,k
motor,40615655,m,o,t,o,r
alone,39326417,a,l,o,n,e
hatch,3896261,h,a,t,c,h
hyper,3153749,h,y,p,e,r
thumb,7284386,t,h,u,m,b
dowry,275011,d,o,w,r,y
ought,7523238,o,u,g,h,t
belch,115135,b,e,l,c,h
dutch,19000979,d,u,t,c,h
pilot,21909830,p,i,l,o,t
tweed,1631867,t,w,e,e,d
comet,3116034,c,o,m,e,t
jaunt,180434,j,a,u,n,t
enema,1329511,e,n,e,m,a
steed,701658,s,t,e,e,d
abyss,1152408,a,b,y,s,s
growl,461820,g,r,o,w,l
fling,682999,f,l,i,n,g
dozen,9776227,d,o,z,e,n
boozy,71828,b,o,o,z,y
erode,774411,e,r,o,d,e
world,431934249,w,o,r,l,d
gouge,240551,g,o,u,g,e
click,536746424,c,l,i,c,k
briar,630788,b,r,i,a,r
great,301487430,g,r,e,a,t
altar,2627835,a,l,t,a,r
pulpy,41088,p,u,l,p,y
blurt,86781,b,l,u,r,t
coast,47716394,c,o,a,s,t
duchy,339003,d,u,c,h,y
groin,784476,g,r,o,i,n
fixer,554896,f,i,x,e,r
group,321842984,g,r,o,u,p
rogue,4576302,r,o,g,u,e
badly,5290145,b,a,d,l,y
smart,36636558,s,m,a,r,t
pithy,194285,p,i,t,h,y
gaudy,248813,g,a,u,d,y
chill,4489643,c,h,i,l,l
heron,1576813,h,e,r,o,n
vodka,2155662,v,o,d,k,a
finer,1455912,f,i,n,e,r
surer,73497,s,u,r,e,r
radio,113285624,r,a,d,i,o
rouge,6084449,r,o,u,g,e
perch,1235177,p,e,r,c,h
retch,37821,r,e,t,c,h
wrote,56421594,w,r,o,t,e
clock,26624872,c,l,o,c,k
tilde,344748,t,i,l,d,e
store,291308910,s,t,o,r,e
prove,16046788,p,r,o,v,e
bring,57608074,b,r,i,n,g
solve,13452150,s,o,l,v,e
cheat,9903572,c,h,e,a,t
grime,514156,g,r,i,m,e
exult,151420,e,x,u,l,t
usher,4948609,u,s,h,e,r
epoch,1680235,e,p,o,c,h
triad,1519533,t,r,i,a,d
break,51242970,b,r,e,a,k
rhino,2619135,r,h,i,n,o
viral,5969493,v,i,r,a,l
conic,216832,c,o,n,i,c
masse,515818,m,a,s,s,e
sonic,7298920,s,o,n,i,c
vital,14166642,v,i,t,a,l
trace,11697252,t,r,a,c,e
using,269448880,u,s,i,n,g
peach,3938068,p,e,a,c,h
champ,2867858,c,h,a,m,p
baton,4229776,b,a,t,o,n
brake,9321885,b,r,a,k,e
pluck,891481,p,l,u,c,k
craze,962477,c,r,a,z,e
gripe,545043,g,r,i,p,e
weary,1632945,w,e,a,r,y
picky,711200,p,i,c,k,y
acute,11128841,a,c,u,t,e
ferry,9208954,f,e,r,r,y
aside,11768649,a,s,i,d,e
tapir,86809,t,a,p,i,r
troll,2079165,t,r,o,l,l
unify,631185,u,n,i,f,y
rebus,227042,r,e,b,u,s
boost,13675076,b,o,o,s,t
truss,1484384,t,r,u,s,s
siege,2518421,s,i,e,g,e
tiger,13763074,t,i,g,e,r
banal,260129,b,a,n,a,l
slump,878659,s,l,u,m,p
crank,2185208,c,r,a,n,k
gorge,1950264,g,o,r,g,e
query,31284313,q,u,e,r,y
drink,29254937,d,r,i,n,k
favor,11867822,f,a,v,o,r
abbey,4224864,a,b,b,e,y
tangy,333638,t,a,n,g,y
panic,6396440,p,a,n,i,c
solar,20423792,s,o,l,a,r
shire,2665081,s,h,i,r,e
proxy,10773043,p,r,o,x,y
point,175527859,p,o,i,n,t
robot,12656312,r,o,b,o,t
prick,891337,p,r,i,c,k
wince,717079,w,i,n,c,e
crimp,640746,c,r,i,m,p
knoll,965905,k,n,o,l,l
sugar,22450333,s,u,g,a,r
whack,725891,w,h,a,c,k
mount,36648260,m,o,u,n,t
perky,1360009,p,e,r,k,y
could,302311431,c,o,u,l,d
wrung,121159,w,r,u,n,g
light,126699632,l,i,g,h,t
those,270014141,t,h,o,s,e
moist,2140516,m,o,i,s,t
shard,287428,s,h,a,r,d
pleat,266830,p,l,e,a,t
aloft,497342,a,l,o,f,t
skill,15835076,s,k,i,l,l
elder,7299470,e,l,d,e,r
frame,46079991,f,r,a,m,e
humor,18085495,h,u,m,o,r
pause,4606318,p,a,u,s,e
ulcer,1336605,u,l,c,e,r
ultra,21795075,u,l,t,r,a
robin,11423944,r,o,b,i,n
cynic,525906,c,y,n,i,c
agora,797585,a,g,o,r,a
aroma,2018777,a,r,o,m,a
caulk,245944,c,a,u,l,k
shake,6839319,s,h,a,k,e
pupal,68283,p,u,p,a,l
dodge,14768509,d,o,d,g,e
swill,92032,s,w,i,l,l
tacit,594255,t,a,c,i,t
other,978481319,o,t,h,e,r
thorn,1421673,t,h,o,r,n
trove,702353,t,r,o,v,e
bloke,766763,b,l,o,k,e
vivid,4479514,v,i,v,i,d
spill,3890646,s,p,i,l,l
chant,1374428,c,h,a,n,t
choke,1448146,c,h,o,k,e
rupee,2831536,r,u,p,e,e
nasty,7434847,n,a,s,t,y
mourn,779010,m,o,u,r,n
ahead,28375319,a,h,e,a,d
brine,816003,b,r,i,n,e
cloth,9764137,c,l,o,t,h
hoard,433375,h,o,a,r,d
sweet,32311923,s,w,e,e,t
month,123027963,m,o,n,t,h
lapse,1459542,l,a,p,s,e
watch,92006970,w,a,t,c,h
today,239271204,t,o,d,a,y
focus,65626732,f,o,c,u,s
smelt,301053,s,m,e,l,t
tease,2019275,t,e,a,s,e
cater,2092828,c,a,t,e,r
movie,158421100,m,o,v,i,e
lynch,4920597,l,y,n,c,h
saute,546457,s,a,u,t,e
allow,67052567,a,l,l,o,w
renew,6561081,r,e,n,e,w
their,782849411,t,h,e,i,r
slosh,51634,s,l,o,s,h
purge,1366135,p,u,r,g,e
chest,13516414,c,h,e,s,t
depot,9688338,d,e,p,o,t
epoxy,1908076,e,p,o,x,y
nymph,697326,n,y,m,p,h
found,232005894,f,o,u,n,d
shall,191963867,s,h,a,l,l
harry,33867934,h,a,r,r,y
stove,3914849,s,t,o,v,e
lowly,543486,l,o,w,l,y
snout,258314,s,n,o,u,t
trope,109419,t,r,o,p,e
fewer,10792786,f,e,w,e,r
shawl,1011728,s,h,a,w,l
natal,3010028,n,a,t,a,l
fibre,5134463,f,i,b,r,e
comma,2711522,c,o,m,m,a
foray,499808,f,o,r,a,y
scare,2972708,s,c,a,r,e
stair,2012524,s,t,a,i,r
black,244690155,b,l,a,c,k
squad,8744772,s,q,u,a,d
royal,45407189,r,o,y,a,l
chunk,2371231,c,h,u,n,k
mince,328039,m,i,n,c,e
slave,10692715,s,l,a,v,e
shame,6785296,s,h,a,m,e
cheek,2681029,c,h,e,e,k
ample,3187842,a,m,p,l,e
flair,1924190,f,l,a,i,r
foyer,1042532,f,o,y,e,r
cargo,9748668,c,a,r,g,o
oxide,5321340,o,x,i,d,e
plant,53247607,p,l,a,n,t
olive,9298184,o,l,i,v,e
inert,935898,i,n,e,r,t
askew,473664,a,s,k,e,w
heist,419629,h,e,i,s,t
shown,68755779,s,h,o,w,n
zesty,210124,z,e,s,t,y
hasty,700024,h,a,s,t,y
trash,7092806,t,r,a,s,h
fella,639391,f,e,l,l,a
larva,462298,l,a,r,v,a
forgo,340426,f,o,r,g,o
story,138433809,s,t,o,r,y
hairy,19060619,h,a,i,r,y
train,31816971,t,r,a,i,n
homer,4281428,h,o,m,e,r
badge,6145138,b,a,d,g,e
midst,3381410,m,i,d,s,t
canny,209480,c,a,n,n,y
fetus,1744267,f,e,t,u,s
butch,1213820,b,u,t,c,h
farce,727546,f,a,r,c,e
slung,253265,s,l,u,n,g
tipsy,279464,t,i,p,s,y
metal,56181783,m,e,t,a,l
yield,15022494,y,i,e,l,d
delve,640909,d,e,l,v,e
being,242783091,b,e,i,n,g
scour,411478,s,c,o,u,r
glass,63559754,g,l,a,s,s
gamer,3144985,g,a,m,e,r
scrap,3757085,s,c,r,a,p
money,190205072,m,o,n,e,y
hinge,1758893,h,i,n,g,e
album,77914316,a,l,b,u,m
vouch,388963,v,o,u,c,h
asset,18178753,a,s,s,e,t
tiara,923335,t,i,a,r,a
crept,588735,c,r,e,p,t
bayou,1397958,b,a,y,o,u
atoll,908471,a,t,o,l,l
manor,7084688,m,a,n,o,r
creak,124122,c,r,e,a,k
showy,294798,s,h,o,w,y
phase,40722940,p,h,a,s,e
froth,278469,f,r,o,t,h
depth,31879926,d,e,p,t,h
gloom,878018,g,l,o,o,m
flood,13979267,f,l,o,o,d
trait,1705417,t,r,a,i,t
girth,492919,g,i,r,t,h
piety,595389,p,i,e,t,y
payer,1439009,p,a,y,e,r
goose,3739382,g,o,o,s,e
float,8808655,f,l,o,a,t
donor,7096675,d,o,n,o,r
atone,152901,a,t,o,n,e
primo,912120,p,r,i,m,o
apron,1617357,a,p,r,o,n
blown,4229918,b,l,o,w,n
cacao,331714,c,a,c,a,o
loser,2529180,l,o,s,e,r
input,57191675,i,n,p,u,t
gloat,113594,g,l,o,a,t
awful,5217370,a,w,f,u,l
brink,1484879,b,r,i,n,k
smite,270393,s,m,i,t,e
beady,87974,b,e,a,d,y
rusty,2780895,r,u,s,t,y
retro,8000179,r,e,t,r,o
droll,196087,d,r,o,l,l
gawky,31136,g,a,w,k,y
hutch,1373107,h,u,t,c,h
pinto,1108872,p,i,n,t,o
gaily,131276,g,a,i,l,y
egret,394773,e,g,r,e,t
lilac,1738684,l,i,l,a,c
sever,686306,s,e,v,e,r
field,135289140,f,i,e,l,d
fluff,814535,f,l,u,f,f
hydro,3725464,h,y,d,r,o
flack,408860,f,l,a,c,k
agape,414471,a,g,a,p,e
wench,310447,w,e,n,c,h
voice,64600528,v,o,i,c,e
stead,724786,s,t,e,a,d
stalk,936028,s,t,a,l,k
berth,1056010,b,e,r,t,h
madam,2023575,m,a,d,a,m
night,130531484,n,i,g,h,t
bland,1606490,b,l,a,n,d
liver,12139363,l,i,v,e,r
wedge,3162851,w,e,d,g,e
augur,120764,a,u,g,u,r
roomy,574188,r,o,o,m,y
wacky,1861879,w,a,c,k,y
flock,2585098,f,l,o,c,k
angry,9267505,a,n,g,r,y
bobby,8964342,b,o,b,b,y
trite,287494,t,r,i,t,e
aphid,295138,a,p,h,i,d
tryst,205722,t,r,y,s,t
midge,308737,m,i,d,g,e
power,226596368,p,o,w,e,r
elope,74984,e,l,o,p,e
cinch,427247,c,i,n,c,h
motto,1894147,m,o,t,t,o
stomp,1168038,s,t,o,m,p
upset,5544484,u,p,s,e,t
bluff,3906671,b,l,u,f,f
cramp,402123,c,r,a,m,p
quart,2002127,q,u,a,r,t
coyly,52174,c,o,y,l,y
youth,51426255,y,o,u,t,h
rhyme,1530733,r,h,y,m,e
buggy,1955438,b,u,g,g,y
alien,10490554,a,l,i,e,n
smear,1289528,s,m,e,a,r
unfit,814145,u,n,f,i,t
patty,2339693,p,a,t,t,y
cling,946281,c,l,i,n,g
glean,232952,g,l,e,a,n
label,41359857,l,a,b,e,l
hunky,279599,h,u,n,k,y
khaki,1481504,k,h,a,k,i
poker,129054826,p,o,k,e,r
gruel,82196,g,r,u,e,l
twice,19945569,t,w,i,c,e
twang,243118,t,w,a,n,g
shrug,720506,s,h,r,u,g
treat,19442315,t,r,e,a,t
unlit,94251,u,n,l,i,t
waste,41089558,w,a,s,t,e
merit,6450895,m,e,r,i,t
woven,4248524,w,o,v,e,n
octal,557500,o,c,t,a,l
needy,1636137,n,e,e,d,y
clown,3081501,c,l,o,w,n
widow,3804620,w,i,d,o,w
irony,2212193,i,r,o,n,y
ruder,89666,r,u,d,e,r
gauze,556178,g,a,u,z,e
chief,45699591,c,h,i,e,f
onset,3858839,o,n,s,e,t
prize,16204739,p,r,i,z,e
fungi,2000715,f,u,n,g,i
charm,10554644,c,h,a,r,m
gully,800734,g,u,l,l,y
inter,15269346,i,n,t,e,r
whoop,331753,w,h,o,o,p
taunt,295148,t,a,u,n,t
leery,168700,l,e,e,r,y
class,191087771,c,l,a,s,s
theme,37219937,t,h,e,m,e
lofty,1018661,l,o,f,t,y
tibia,620778,t,i,b,i,a
booze,1178694,b,o,o,z,e
alpha,27832836,a,l,p,h,a
thyme,1007823,t,h,y,m,e
eclat,123738,e,c,l,a,t
doubt,20311261,d,o,u,b,t
parer,38034,p,a,r,e,r
chute,834005,c,h,u,t,e
stick,22399126,s,t,i,c,k
trice,354532,t,r,i,c,e
alike,6220739,a,l,i,k,e
sooth,141125,s,o,o,t,h
recap,2861982,r,e,c,a,p
saint,38929141,s,a,i,n,t
liege,598284,l,i,e,g,e
glory,13158826,g,l,o,r,y
grate,672155,g,r,a,t,e
admit,8780656,a,d,m,i,t
brisk,774000,b,r,i,s,k
soggy,331525,s,o,g,g,y
usurp,171456,u,s,u,r,p
scald,101839,s,c,a,l,d
scorn,622924,s,c,o,r,n
leave,70957750,l,e,a,v,e
twine,415457,t,w,i,n,e
sting,2773263,s,t,i,n,g
bough,520067,b,o,u,g,h
marsh,5073104,m,a,r,s,h
sloth,519428,s,l,o,t,h
dandy,1098188,d,a,n,d,y
vigor,977544,v,i,g,o,r
howdy,726642,h,o,w,d,y
enjoy,50141455,e,n,j,o,y
valid,57094711,v,a,l,i,d
ionic,1808092,i,o,n,i,c
equal,34832354,e,q,u,a,l
unset,1035406,u,n,s,e,t
floor,53759851,f,l,o,o,r
catch,20400979,c,a,t,c,h
spade,1567565,s,p,a,d,e
stein,3893544,s,t,e,i,n
exist,25349128,e,x,i,s,t
quirk,444069,q,u,i,r,k
denim,4737554,d,e,n,i,m
grove,15189493,g,r,o,v,e
spiel,811922,s,p,i,e,l
mummy,1878933,m,u,m,m,y
fault,13112664,f,a,u,l,t
foggy,704386,f,o,g,g,y
flout,72396,f,l,o,u,t
carry,33056477,c,a,r,r,y
sneak,2280877,s,n,e,a,k
libel,866830,l,i,b,e,l
waltz,1723021,w,a,l,t,z
aptly,598371,a,p,t,l,y
piney,394672,p,i,n,e,y
inept,458533,i,n,e,p,t
aloud,3743858,a,l,o,u,d
photo,227125249,p,h,o,t,o
dream,33518573,d,r,e,a,m
stale,1065657,s,t,a,l,e
vomit,767124,v,o,m,i,t
ombre,243069,o,m,b,r,e
fanny,1516099,f,a,n,n,y
unite,2888724,u,n,i,t,e
snarl,184639,s,n,a,r,l
baker,14862470,b,a,k,e,r
there,701170205,t,h,e,r,e
glyph,632257,g,l,y,p,h
pooch,348386,p,o,o,c,h
hippy,608617,h,i,p,p,y
spell,8506049,s,p,e,l,l
folly,1367992,f,o,l,l,y
louse,178544,l,o,u,s,e
gulch,647573,g,u,l,c,h
vault,5408483,v,a,u,l,t
godly,725475,g,o,d,l,y
threw,4410853,t,h,r,e,w
fleet,10364423,f,l,e,e,t
grave,6929008,g,r,a,v,e
inane,319343,i,n,a,n,e
shock,14850388,s,h,o,c,k
crave,1199466,c,r,a,v,e
spite,4493143,s,p,i,t,e
valve,11325360,v,a,l,v,e
skimp,107336,s,k,i,m,p
claim,40085342,c,l,a,i,m
rainy,2469088,r,a,i,n,y
musty,237343,m,u,s,t,y
pique,664313,p,i,q,u,e
daddy,9211193,d,a,d,d,y
quasi,2804115,q,u,a,s,i
arise,8337093,a,r,i,s,e
aging,12014007,a,g,i,n,g
valet,2052690,v,a,l,e,t
opium,1330299,o,p,i,u,m
avert,767435,a,v,e,r,t
stuck,9120620,s,t,u,c,k
recut,146984,r,e,c,u,t
mulch,833160,m,u,l,c,h
genre,22344091,g,e,n,r,e
plume,1269109,p,l,u,m,e
rifle,5047417,r,i,f,l,e
count,40345803,c,o,u,n,t
incur,1984112,i,n,c,u,r
total,222649459,t,o,t,a,l
wrest,185267,w,r,e,s,t
mocha,933522,m,o,c,h,a
deter,1887521,d,e,t,e,r
study,152978354,s,t,u,d,y
lover,9234545,l,o,v,e,r
safer,5085040,s,a,f,e,r
rivet,616847,r,i,v,e,t
funny,34281806,f,u,n,n,y
smoke,16567733,s,m,o,k,e
mound,2259654,m,o,u,n,d
undue,1377567,u,n,d,u,e
sedan,4769270,s,e,d,a,n
pagan,3805644,p,a,g,a,n
swine,1578713,s,w,i,n,e
guile,1026260,g,u,i,l,e
gusty,202515,g,u,s,t,y
equip,4044391,e,q,u,i,p
tough,13560922,t,o,u,g,h
canoe,3790795,c,a,n,o,e
chaos,8690268,c,h,a,o,s
covet,219812,c,o,v,e,t
human,160573748,h,u,m,a,n
udder,175766,u,d,d,e,r
lunch,20807419,l,u,n,c,h
blast,9387171,b,l,a,s,t
stray,1807545,s,t,r,a,y
manga,12774174,m,a,n,g,a
melee,1034523,m,e,l,e,e
lefty,978333,l,e,f,t,y
quick,85584600,q,u,i,c,k
paste,8913055,p,a,s,t,e
given,125542966,g,i,v,e,n
octet,2280607,o,c,t,e,t
risen,2619862,r,i,s,e,n
groan,473578,g,r,o,a,n
leaky,650957,l,e,a,k,y
grind,2482307,g,r,i,n,d
carve,952422,c,a,r,v,e
loose,12556710,l,o,o,s,e
sadly,3905175,s,a,d,l,y
spilt,214786,s,p,i,l,t
apple,50551171,a,p,p,l,e
slack,1954286,s,l,a,c,k
honey,9978043,h,o,n,e,y
final,97649084,f,i,n,a,l
sheen,1124463,s,h,e,e,n
eerie,772484,e,e,r,i,e
minty,218953,m,i,n,t,y
slick,2372634,s,l,i,c,k
derby,6319608,d,e,r,b,y
wharf,2226856,w,h,a,r,f
spelt,431427,s,p,e,l,t
coach,24514961,c,o,a,c,h
erupt,300083,e,r,u,p,t
singe,106880,s,i,n,g,e
price,501651226,p,r,i,c,e
spawn,1908837,s,p,a,w,n
fairy,6435300,f,a,i,r,y
jiffy,475865,j,i,f,f,y
filmy,657205,f,i,l,m,y
stack,11090579,s,t,a,c,k
chose,9409845,c,h,o,s,e
sleep,29491537,s,l,e,e,p
ardor,155258,a,r,d,o,r
nanny,3025474,n,a,n,n,y
niece,1151039,n,i,e,c,e
woozy,72439,w,o,o,z,y
handy,7936655,h,a,n,d,y
grace,17642126,g,r,a,c,e
ditto,1386002,d,i,t,t,o
stank,100733,s,t,a,n,k
cream,25898758,c,r,e,a,m
usual,17044981,u,s,u,a,l
diode,1897828,d,i,o,d,e
valor,1193133,v,a,l,o,r
angle,17016075,a,n,g,l,e
ninja,4439780,n,i,n,j,a
muddy,1860188,m,u,d,d,y
chase,10971945,c,h,a,s,e
reply,184777992,r,e,p,l,y
prone,3001079,p,r,o,n,e
spoil,1419320,s,p,o,i,l
heart,90249265,h,e,a,r,t
shade,6996835,s,h,a,d,e
diner,2261961,d,i,n,e,r
arson,989351,a,r,s,o,n
onion,6384730,o,n,i,o,n
sleet,305148,s,l,e,e,t
dowel,285802,d,o,w,e,l
couch,4581367,c,o,u,c,h
palsy,1409502,p,a,l,s,y
bowel,2666510,b,o,w,e,l
smile,13893537,s,m,i,l,e
evoke,804417,e,v,o,k,e
creek,38159464,c,r,e,e,k
lance,5509634,l,a,n,c,e
eagle,16785232,e,a,g,l,e
idiot,4635830,i,d,i,o,t
siren,1354779,s,i,r,e,n
built,61502894,b,u,i,l,t
embed,1217930,e,m,b,e,d
award,59652161,a,w,a,r,d
dross,154345,d,r,o,s,s
annul,146490,a,n,n,u,l
goody,733518,g,o,o,d,y
frown,742356,f,r,o,w,n
patio,7627536,p,a,t,i,o
laden,5964620,l,a,d,e,n
humid,1026485,h,u,m,i,d
elite,12673836,e,l,i,t,e
lymph,1781845,l,y,m,p,h
edify,69341,e,d,i,f,y
might,123196001,m,i,g,h,t
reset,10021033,r,e,s,e,t
visit,187062316,v,i,s,i,t
gusto,512932,g,u,s,t,o
purse,5488891,p,u,r,s,e
vapor,3744912,v,a,p,o,r
crock,918524,c,r,o,c,k
write,126645151,w,r,i,t,e
sunny,9497382,s,u,n,n,y
loath,151677,l,o,a,t,h
chaff,294863,c,h,a,f,f
slide,22339084,s,l,i,d,e
queer,2717979,q,u,e,e,r
venom,1883158,v,e,n,o,m
stamp,9760468,s,t,a,m,p
sorry,35595812,s,o,r,r,y
still,190433487,s,t,i,l,l
acorn,1825652,a,c,o,r,n
aping,42534,a,p,i,n,g
pushy,255990,p,u,s,h,y
tamer,355602,t,a,m,e,r
hater,467834,h,a,t,e,r
mania,3688699,m,a,n,i,a
awoke,688520,a,w,o,k,e
brawn,191036,b,r,a,w,n
swift,5850031,s,w,i,f,t
exile,2801261,e,x,i,l,e
birch,2936180,b,i,r,c,h
lucky,14053901,l,u,c,k,y
freer,534734,f,r,e,e,r
risky,2412508,r,i,s,k,y
ghost,14490042,g,h,o,s,t
plier,260940,p,l,i,e,r
lunar,3611744,l,u,n,a,r
winch,1016374,w,i,n,c,h
snare,1311615,s,n,a,r,e
nurse,16772151,n,u,r,s,e
house,231310420,h,o,u,s,e
borax,172497,b,o,r,a,x
nicer,1239249,n,i,c,e,r
lurch,204983,l,u,r,c,h
exalt,193526,e,x,a,l,t
about,1226734006,a,b,o,u,t
savvy,3140230,s,a,v,v,y
toxin,1495922,t,o,x,i,n
tunic,727598,t,u,n,i,c
pried,82841,p,r,i,e,d
inlay,965778,i,n,l,a,y
chump,270215,c,h,u,m,p
lanky,146488,l,a,n,k,y
cress,279364,c,r,e,s,s
eater,1702828,e,a,t,e,r
elude,215496,e,l,u,d,e
cycle,29585286,c,y,c,l,e
kitty,6414935,k,i,t,t,y
boule,116726,b,o,u,l,e
moron,1017416,m,o,r,o,n
tenet,834143,t,e,n,e,t
place,220970235,p,l,a,c,e
lobby,6887477,l,o,b,b,y
plush,4692870,p,l,u,s,h
vigil,1183443,v,i,g,i,l
index,242826246,i,n,d,e,x
blink,5257629,b,l,i,n,k
clung,365864,c,l,u,n,g
qualm,34744,q,u,a,l,m
croup,149483,c,r,o,u,p
clink,164177,c,l,i,n,k
juicy,3778910,j,u,i,c,y
stage,52518330,s,t,a,g,e
decay,4956622,d,e,c,a,y
nerve,6567418,n,e,r,v,e
flier,542812,f,l,i,e,r
shaft,6431372,s,h,a,f,t
crook,1067661,c,r,o,o,k
clean,45381752,c,l,e,a,n
china,124472054,c,h,i,n,a
ridge,15993437,r,i,d,g,e
vowel,1033509,v,o,w,e,l
gnome,12609820,g,n,o,m,e
snuck,274495,s,n,u,c,k
icing,1277602,i,c,i,n,g
spiny,366114,s,p,i,n,y
